# Super Smash Bros. Melee Unlockables Guide (Trophies & Collectibles)

| Unlockable (Non-Playable) | Category | Requirement / Trigger | Where it Appears | Notes |
| --- | --- | --- | --- | --- |
| Final Destination | Stage | Clear Event Match 51 | VS Stages | Stage unlock, not a fighter |
| Brinstar Depths | Stage | Play 50 VS matches | VS Stages | Stage unlock |
| Mushroom Kingdom II | Stage | Clear Adventure Mode | VS Stages | Stage unlock |
| Item: Home-Run Bat | Item | Complete Home-Run Contest once | Item Switch | Item availability |
| Trophy: Celebi | Trophy | See Celebi from a Poké Ball | Trophy Gallery | Random encounter-based |
| Trophy: Birdo | Trophy | Clear Target Test with 10 characters | Trophy Gallery | Collectible trophy |
| Sound Test Track: "Saria's Song" | Music | Clear All-Star on any difficulty | Sound Test | Music unlock |
| Mini-Game: Trophy Lottery | Mode/Feature | Collect 100 trophies total | Lottery | Feature unlock |
| Trophy: Caped Mario & Yoshi | Trophy | Have a Pikmin save on the Memory Card | Trophy Gallery | Cross-save novelty |
| Gallery: Character Trophies | Trophy Set | Finish Classic/Adventure/All-Star with each character | Trophy Gallery | Not roster-related |
