# U.S. Governor Term Limit Rules (Selected States) — Consecutive vs. Lifetime Limits

| State | Term limit rule (plain language) | Consecutive requirement explicitly stated? | Can return after a break? |
| --- | --- | --- | --- |
| California | May serve **2 terms total** as governor (lifetime cap). | No (lifetime cap) | No, not after reaching the total cap |
| Connecticut | **No gubernatorial term limits**. | No limits | Yes (unlimited) |
| Maine | May serve **2 consecutive terms**, then must step aside before serving again. | Yes — consecutive | Yes, after sitting out a term |
| Massachusetts | **No gubernatorial term limits**. | No limits | Yes (unlimited) |
| Michigan | May serve **2 terms total** as governor (lifetime cap). | No (lifetime cap) | No, not after reaching the total cap |
| Missouri | May serve **2 terms total** as governor (lifetime cap). | No (lifetime cap) | No, not after reaching the total cap |
| New York | **No gubernatorial term limits**. | No limits | Yes (unlimited) |
| Oklahoma | May serve **2 terms total** as governor (lifetime cap). | No (lifetime cap) | No, not after reaching the total cap |
| Oregon | **No gubernatorial term limits**. | No limits | Yes (unlimited) |
| Virginia | May serve **1 term at a time** (cannot serve consecutive terms). | Yes — nonconsecutive required | Yes, but only after leaving office for at least one term |
