# Timeline of Selected European Death Penalty Incidents (Event Log)

| Year | Country | Event type | Person(s) involved | What happened (brief) | Source note |
|---:|---|---|---|---|---|
| 1955 | United Kingdom | Execution | Ruth Ellis | Last woman executed | Historical record |
| 1974 | Spain | Execution | Salvador Puig Antich | Executed by garrote | Historical record |
| 1977 | France | Execution | Hamida Djandoubi | Last execution in France | Historical record |
| 1988 | Poland | Execution | (selected case) | Last known execution before abolition | Historical record |
| 1994 | Russia | Execution | Andrei Chikatilo | Executed by shooting | Historical record |
| 2014 | Belarus | Execution | (selected case) | Execution reported | Media reports |
| 2016 | Belarus | Execution | Ivan Kovalyov | Execution reported | Media reports |
| 2020 | Turkey | Legal debate | Parliament members | Renewed discussion of reinstatement | Press summary |
| 2022 | Ukraine | Wartime law | Government | Wartime provisions discussed | Press summary |
