# Pantry-Stable Foods  Unopened vs Opened Shelf Life (Not for Leftovers)

| Item | Unopened pantry life | Opened pantry life | Refrigeration after opening |
|---|---|---|---|
| Canned soup | 2–5 years | — | 3–4 days after opening (in fridge) |
| Peanut butter | 6–12 months | 2–3 months | Optional |
| Soy sauce | 2–3 years | 6–12 months | Optional |
| Jam/jelly | 1–2 years | 1–3 months | Recommended |
| Salsa (jarred) | 12–18 months | 1–2 weeks | Required |
| Pickles | 1–2 years | 1–3 months | Recommended |
| Dry pasta | 1–2 years | — | Not needed |
| Rice (dry) | 1–2 years | — | Not needed |
| Honey | Indefinite | Indefinite | Not needed |
| Shelf-stable milk | 6–9 months | 7–10 days | Required |
