# Egyptian Gods and Goddesses by Sphere of Influence (Grouped List)

| Sphere of influence | Deity | Type | What they preside over (brief) |
| --- | --- | --- | --- |
| Sun & creation | Atum | God | Primeval creator; emergence from the waters of chaos |
| Sun & creation | Khepri | God | Rising sun; dawn and renewal (scarab form) |
| Sun & creation | Aten | God | Solar disk; sunlight as divine power |
| Death & afterlife | Osiris | God | Ruler of the underworld; resurrection and afterlife judgment |
| Death & afterlife | Anubis | God | Embalming and funerary protection; guide of souls |
| Death & afterlife | Nephthys | Goddess | Funerary protection; mourning and guarding the dead |
| Kingship & protection | Horus | God | Divine kingship; protector of the pharaoh |
| Kingship & protection | Wadjet | Goddess | Cobra protector of Lower Egypt; royal guardianship |
| Order & knowledge | Ma'at | Goddess/Concept | Truth, justice, cosmic balance; right order |
| Order & knowledge | Thoth | God | Writing, wisdom, records; divine scribe |
| Nature & fertility | Geb | God | Earth; fertility and the land |
| Nature & fertility | Nut | Goddess | Sky; celestial protection and rebirth |
| River & crafts | Khnum | God | Potter-creator; fashioning bodies; linked with Nile sources |
| River & crafts | Ptah | God | Crafts and creation through thought/word; patron of artisans |
