# PIN Codes by Locality within Hyderabad (Telangana, India)

| Neighborhood / Locality | City | District | State | PIN Code |
| --- | --- | --- | --- | --- |
| Abids | Hyderabad | Hyderabad | Telangana | 500001 |
| Charminar | Hyderabad | Hyderabad | Telangana | 500002 |
| Secunderabad | Hyderabad | Hyderabad | Telangana | 500003 |
| Begumpet | Hyderabad | Hyderabad | Telangana | 500016 |
| Banjara Hills | Hyderabad | Hyderabad | Telangana | 500034 |
| Jubilee Hills | Hyderabad | Hyderabad | Telangana | 500033 |
| Gachibowli | Hyderabad | Hyderabad | Telangana | 500032 |
| Hitech City | Hyderabad | Hyderabad | Telangana | 500081 |
| Kukatpally | Hyderabad | Hyderabad | Telangana | 500072 |
| Dilsukhnagar | Hyderabad | Hyderabad | Telangana | 500060 |
