# Food Lists by Carb Type and Processing (Contextual Labels, No GI GL Measurements)

| Food item | Processing level | Carb type (dominant) | Fiber note | Suggested swap |
|---|---|---|---|---|
| White bread | Refined | Starch | Low fiber | Whole-grain bread |
| Brown rice | Minimally processed | Starch | Moderate fiber | Quinoa |
| Soda | Ultra-processed | Sugar | No fiber | Sparkling water |
| Potato chips | Ultra-processed | Starch + fat | Low fiber | Roasted potatoes |
| Lentils | Minimally processed | Starch | High fiber | — |
| Banana | Whole food | Sugar + starch | Some fiber | Berries |
| Apple juice | Processed | Sugar | No fiber | Whole apple |
| Yogurt (sweetened) | Processed | Sugar | Low fiber | Plain yogurt |
| Oats | Minimally processed | Starch | High fiber | — |
| Candy | Ultra-processed | Sugar | No fiber | Nuts |
