# List of French monarchs (Kingdom of France) — Early Capetians

| Name | Reign start | Reign end | Royal house | Main title | Relationship to predecessor |
| --- | --- | --- | --- | --- | --- |
| Hugh Capet | 3 Jul 987 | 24 Oct 996 | Capetian | King of the Franks | Elected after the death of Louis V (end of Carolingian line) |
| Robert II "the Pious" | 24 Oct 996 | 20 Jul 1031 | Capetian | King of the Franks | Son of Hugh Capet |
| Henry I | 20 Jul 1031 | 4 Aug 1060 | Capetian | King of the Franks | Son of Robert II |
| Philip I | 4 Aug 1060 | 29 Jul 1108 | Capetian | King of the Franks | Son of Henry I |
| Louis VI "the Fat" | 29 Jul 1108 | 1 Aug 1137 | Capetian | King of the Franks | Son of Philip I |
| Louis VII "the Young" | 1 Aug 1137 | 18 Sep 1180 | Capetian | King of the Franks | Son of Louis VI |
| Philip II "Augustus" | 18 Sep 1180 | 14 Jul 1223 | Capetian | King of France | Son of Louis VII |
| Louis VIII "the Lion" | 14 Jul 1223 | 8 Nov 1226 | Capetian | King of France | Son of Philip II |
| Louis IX "Saint Louis" | 8 Nov 1226 | 25 Aug 1270 | Capetian | King of France | Son of Louis VIII |
