# Top 25 Ranking List with Notable Tournament Wins (Resume Highlights)

| Rank | Team | Record | Notable NCAA Tournament Wins (Last 5 Years) |
|---:|---|---:|---|
| 1 | Villanova | 24-5 | vs. Michigan (Final Four), vs. Kansas (Elite Eight) |
| 2 | Kansas | 23-6 | vs. Duke (Final Four), vs. Villanova (Sweet 16) |
| 3 | Duke | 22-7 | vs. Gonzaga (Elite Eight), vs. Michigan State (Sweet 16) |
| 4 | Kentucky | 21-8 | vs. Houston (Round of 32), vs. Iowa (Sweet 16) |
| 5 | North Carolina | 22-8 | vs. Baylor (National Title), vs. UCLA (Final Four) |
| 6 | Gonzaga | 24-6 | vs. UCLA (Final Four), vs. Texas (Elite Eight) |
| 7 | Michigan | 20-10 | vs. Florida State (Elite Eight) |
| 8 | Baylor | 21-9 | vs. Houston (Final Four) |
| 9 | Connecticut | 22-8 | vs. Alabama (Sweet 16) |
| 10 | Arizona | 21-9 | vs. Illinois (Round of 32) |
| 11 | Purdue | 20-10 | vs. Tennessee (Sweet 16) |
| 12 | Texas | 19-11 | vs. Marquette (Round of 32) |
