# Fallout 4 Magazine Collectibles  Named Issue Locations (Commonwealth Checklist)

| Magazine (Named Issue) | Publication Series | Exact Location (Map Area) | Where to Look | How to Obtain |
| --- | --- | --- | --- | --- |
| Grognak the Barbarian #1 | Grognak the Barbarian | Wicked Shipping Fleet Lockup (Boston Waterfront) | On a metal desk in the main office | Loot from the building interior |
| Guns and Bullets: "Lasers & You" | Guns and Bullets | Fort Hagen (NW Commonwealth) | On a table near the armory area | Loot while exploring Fort Hagen |
| Tales of a Junktown Jerky Vendor: "The Land of the Serpents" | Tales of a Junktown Jerky Vendor | The Slog (Northeast Commonwealth) | Inside the main building near the trading area | Loot; settlement is accessible without a quest |
| Astoundingly Awesome Tales: "Attack of the Fishmen" | Astoundingly Awesome Tales | Poseidon Energy Turbine 18-F (Southeast Commonwealth) | In a small office on an upper catwalk | Loot after reaching the interior offices |
| Unstoppables: "The Mad Russian's Revenge" | Unstoppables | Hubris Comics (Downtown Boston) | On a counter/display near the costume area | Loot; expect hostile enemies inside |
| Hot Rodder: "Flame Job!" | Hot Rodder | Atom Cats Garage (South of Quincy) | On a small table in the garage lounge | Loot; friendly faction location |
| Wasteland Survival Guide: "Farming the Wastes" | Wasteland Survival Guide | Sunshine Tidings Co-op (West Commonwealth) | On a picnic table near the main lodge | Loot during exploration/clearing the area |
| Live & Love: "Beware the Man Handler" | Live & Love | Hotel Rexford (Goodneighbor) | In an upstairs room on a dresser | Loot; enter the hotel and go upstairs |
| Tumblers Today: "Master Locksmith" | Tumblers Today | Pickman Gallery (North End Boston) | In the basement room beyond the cages | Loot while clearing the gallery |
| Covert Operations Manual: "U.S. Covert Operations" | Covert Operations Manual | Railroad HQ (Old North Church) | On a desk in the Railroad safehouse area | Loot after accessing the HQ |
| Massachusetts Surgical Journal | Book (Skill/Perk) | Med-Tek Research (South Boston) | In the advanced research section on a bench | Loot; requires progressing through interior labs |
| Picket Fences: "Modern Lawn Care" | Picket Fences | Saugus Ironworks (Northeast) | In the admin office area | Loot while exploring Saugus Ironworks |
