# Moody’s Sovereign Ratings (Country-Level, Moody’s Only)

| Country | Moody's Rating | Moody's Outlook | Action | Action Date | Comments |
|---|---|---|---|---|---|
| Canada | Aaa | Stable | Affirmed | 2024-06-10 | Long-term issuer rating |
| United States | Aaa | Negative | Changed Outlook | 2024-05-15 | Outlook revision |
| United Kingdom | Aa3 | Stable | Affirmed | 2024-04-01 | Maintained rating |
| Australia | Aaa | Stable | Affirmed | 2024-03-20 | Strong fiscal metrics |
| China | A1 | Stable | Affirmed | 2024-02-08 | Growth considerations |
| India | Baa3 | Stable | Affirmed | 2024-01-25 | Reform trajectory |
| Brazil | Ba2 | Positive | Upgraded | 2024-07-05 | Improved outlook |
| South Africa | Ba2 | Stable | Affirmed | 2024-08-12 | Debt burden |
| Turkey | B3 | Stable | Affirmed | 2024-09-03 | External risks |
| Argentina | Ca | Stable | Affirmed | 2024-10-18 | Distressed level |
| Vietnam | Ba2 | Stable | Affirmed | 2024-11-11 | External position |
