# Extended-Release Medication Products and Their Label Abbreviations

| Product (example) | Release/Delivery Type | Abbreviation(s) on label | Active ingredient class | Notes |
|---|---|---|---|---|
| Metoprolol succinate | Extended release | ER, XR | Beta-blocker | Often once daily dosing |
| Venlafaxine | Extended release | XR | SNRI antidepressant | Capsule with beads |
| Bupropion | Sustained/extended release | SR, XL | NDRI antidepressant | SR vs XL differ by duration |
| Diltiazem | Extended release | CD, LA, XR | Calcium channel blocker | Multiple proprietary formats |
| Oxycodone | Extended release | ER | Opioid analgesic | Abuse-deterrent formulations exist |
| Methylphenidate | Extended release | ER, LA | Stimulant | Mixed immediate + delayed beads |
| Glipizide | Extended release | XL | Sulfonylurea | GI-dependent release |
| Morphine | Extended release | ER | Opioid analgesic | Do not crush |
| Tamsulosin | Modified release | MR | Alpha-1 blocker | Capsule formulation |
| Levetiracetam | Extended release | XR | Antiepileptic | Tablets designed for once daily use |
