# US ZIP Codes by State (with Delivery Category)

| ZIP Code | State | Primary City | ZIP Type | USPS Notes |
|---|---|---|---|---|
| 00501 | NY | Holtsville | Unique | IRS service center mail routing |
| 01001 | MA | Agawam | Standard | Residential delivery area |
| 02108 | MA | Boston | Standard | Downtown delivery routes |
| 04005 | ME | Biddeford | Standard | Mixed residential/business |
| 05001 | VT | White River Junction | Standard | Regional delivery hub |
| 07030 | NJ | Hoboken | Standard | Carrier routes |
| 08540 | NJ | Princeton | Standard | Campus delivery supported |
| 10001 | NY | New York | Standard | High-volume delivery zone |
| 20001 | DC | Washington | Standard | Federal area delivery |
| 30301 | GA | Atlanta | PO Box | PO Box-only mail handling |
| 60601 | IL | Chicago | Standard | Loop business delivery |
| 94105 | CA | San Francisco | Standard | Financial district routes |
