# City of Bristol Local Authority School Calendar 2016–2017 (Maintained Schools)

| Category | Period | Start | End |
| --- | --- | --- | --- |
| Maintained schools | Autumn Term 1 | 06 Sep 2016 | 21 Oct 2016 |
| Maintained schools | Autumn Half-Term | 24 Oct 2016 | 28 Oct 2016 |
| Maintained schools | Autumn Term 2 | 31 Oct 2016 | 16 Dec 2016 |
| Maintained schools | Christmas Break | 19 Dec 2016 | 02 Jan 2017 |
| Maintained schools | Spring Term 1 | 03 Jan 2017 | 10 Feb 2017 |
| Maintained schools | Spring Half-Term | 13 Feb 2017 | 17 Feb 2017 |
| Maintained schools | Spring Term 2 | 20 Feb 2017 | 31 Mar 2017 |
| Maintained schools | Easter Break | 03 Apr 2017 | 17 Apr 2017 |
| Maintained schools | Summer Term 1 | 18 Apr 2017 | 26 May 2017 |
| Maintained schools | Summer Half-Term | 29 May 2017 | 02 Jun 2017 |
| Maintained schools | Summer Term 2 | 05 Jun 2017 | 21 Jul 2017 |
