# Book Names Across Bible Versions (Selected Pentateuch + Historical Books)

| # | Common English Name | KJV (1611) | Latin Vulgate | Douay-Rheims | Septuagint (English book name) |
|---:|---|---|---|---|---|
| 1 | Genesis | Genesis | Genesis | Genesis | Genesis |
| 2 | Exodus | Exodus | Exodus | Exodus | Exodus |
| 3 | Leviticus | Leviticus | Leviticus | Leviticus | Leviticus |
| 4 | Numbers | Numbers | Numeri | Numbers | Numbers |
| 5 | Deuteronomy | Deuteronomy | Deuteronomium | Deuteronomy | Deuteronomy |
| 6 | Joshua | Joshua | Iosue | Josue | Joshua |
| 7 | Judges | Judges | Iudicum | Judges | Judges |
| 8 | Ruth | Ruth | Ruth | Ruth | Ruth |
| 9 | 1 Samuel | 1 Samuel | I Regum | 1 Kings | 1 Kingdoms |
| 10 | 2 Samuel | 2 Samuel | II Regum | 2 Kings | 2 Kingdoms |
| 11 | 1 Kings | 1 Kings | III Regum | 3 Kings | 3 Kingdoms |
| 12 | 2 Kings | 2 Kings | IV Regum | 4 Kings | 4 Kingdoms |
| 13 | 1 Chronicles | 1 Chronicles | I Paralipomenon | 1 Paralipomenon | 1 Chronicles |
| 14 | 2 Chronicles | 2 Chronicles | II Paralipomenon | 2 Paralipomenon | 2 Chronicles |
