# Jewish Holidays — Single-Day Date Markers for Academic Year 2015–2016 (Key Days Only)

| Holiday / Observance | Scheduling Marker (Single Day) | Gregorian Date | Day of Week | Notes |
| --- | --- | --- | --- | --- |
| Sukkot (First Day) | First day to mark | September 28, 2015 | Monday | Marks the start day only (not the full festival) |
| Shemini Atzeret | Specific observance day | October 5, 2015 | Monday | Separate from Sukkot |
| Simchat Torah | Specific observance day | October 6, 2015 | Tuesday | Often follows Shemini Atzeret |
| Hanukkah (First Day) | First day to mark | December 6, 2015 | Sunday | Marks the first night/day only |
| Purim (Main Day) | Main day to mark | March 24, 2016 | Thursday | Daytime Purim observances |
| Passover (First Day) | First day to mark | April 23, 2016 | Saturday | Start marker (not an 8-day span) |
| Passover (Last Day) | Last day to mark | April 30, 2016 | Saturday | End marker as a single date |
| Shavuot (First Day) | First day to mark | June 12, 2016 | Sunday | Start marker only |
| Tisha B'Av | Fast day | August 14, 2016 | Sunday | Single fast day marker |
| Rosh Hashanah (First Day) | First day to mark | October 3, 2016 | Monday | Start marker only |
| Yom Kippur | Specific observance day | October 12, 2016 | Wednesday | Single day of observance |
