# Astrology Compatibility Matrix by Sun Sign (Generic Relationship Reference)

| Sun Sign | Best Matches | Challenging Matches | Element | Modality |
|---|---|---|---|---|
| Aries | Leo, Sagittarius, Gemini | Cancer, Capricorn | Fire | Cardinal |
| Taurus | Virgo, Capricorn, Cancer | Aquarius, Leo | Earth | Fixed |
| Gemini | Libra, Aquarius, Aries | Virgo, Pisces | Air | Mutable |
| Cancer | Scorpio, Pisces, Taurus | Aries, Libra | Water | Cardinal |
| Leo | Aries, Sagittarius, Libra | Taurus, Scorpio | Fire | Fixed |
| Virgo | Taurus, Capricorn, Scorpio | Gemini, Sagittarius | Earth | Mutable |
| Libra | Gemini, Aquarius, Leo | Cancer, Capricorn | Air | Cardinal |
| Scorpio | Cancer, Pisces, Virgo | Leo, Aquarius | Water | Fixed |
| Sagittarius | Aries, Leo, Aquarius | Virgo, Pisces | Fire | Mutable |
| Capricorn | Taurus, Virgo, Scorpio | Aries, Libra | Earth | Cardinal |
| Aquarius | Gemini, Libra, Sagittarius | Taurus, Scorpio | Air | Fixed |
| Pisces | Cancer, Scorpio, Capricorn | Gemini, Sagittarius | Water | Mutable |
