# Airport Bank Kiosk FX Board — Cash Buy Sell Rates and Service Charges (Client-Facing)

| Currency | Unit | We Buy (You Sell) | We Sell (You Buy) | Spread (Sell-Buy) | Service Charge | Minimum Transaction | Remarks |
|---|---:|---:|---:|---:|---|---|---|
| USD | 1 | 1.0620 | 1.1045 | 0.0425 | Included in rate | 50 (currency units) | Cash only |
| EUR | 1 | 0.9725 | 1.0150 | 0.0425 | Included in rate | 50 | Cash only |
| GBP | 1 | 0.8270 | 0.8735 | 0.0465 | Included in rate | 30 | Cash only |
| JPY | 100 | 0.6500 | 0.7020 | 0.0520 | Included in rate | 10,000 JPY | Quoted per 100 JPY |
| CAD | 1 | 1.4100 | 1.4680 | 0.0580 | Included in rate | 50 | Cash only |
| AUD | 1 | 1.5600 | 1.6280 | 0.0680 | Included in rate | 50 | Cash only |
| CHF | 1 | 0.9350 | 0.9855 | 0.0505 | Included in rate | 50 | Cash only |
| SGD | 1 | 1.4105 | 1.4780 | 0.0675 | Included in rate | 100 | Cash only |
| HKD | 10 | 1.3400 | 1.4020 | 0.0620 | Included in rate | 1,000 HKD | Quoted per 10 HKD |
| CNY | 1 | 7.4200 | 7.6900 | 0.2700 | 2.00 (flat) | 200 | Extra flat fee applies |
