# Leader of the Opposition (Ontario) — Selected roster of provincial opposition leaders (post-1990)

| # | Name | Party (as Opposition) | Took Office | Left Office | Notes |
|---:|---|---|---|---|---|
| 1 | Bob Rae | New Democratic Party | 1990 | 1990 | Became Premier after 1990 election |
| 2 | Bob Rae | New Democratic Party | 1990 | 1992 | Continued as NDP leader of opposition after leaving premiership |
| 3 | Mike Harris | Progressive Conservative | 1990 | 1995 | Left when PCs formed government |
| 4 | Dalton McGuinty | Liberal | 1996 | 2003 | Left when Liberals formed government |
| 5 | John Tory | Progressive Conservative | 2007 | 2009 | Resigned as PC leader |
| 6 | Tim Hudak | Progressive Conservative | 2009 | 2014 | Stepped down after 2014 election |
| 7 | Andrea Horwath | New Democratic Party | 2014 | 2018 | Left when PCs became Official Opposition |
| 8 | Andrea Horwath | New Democratic Party | 2018 | 2018 | Interim period until new party leader chosen |
| 9 | Doug Ford | Progressive Conservative | 2018 | 2018 | Briefly listed as opposition leader before becoming Premier |
| 10 | John Fraser | Liberal | 2018 | 2018 | Interim Liberal leader as opposition |
| 11 | Steven Del Duca | Liberal | 2020 | 2022 | Left after 2022 election |
| 12 | Andrea Horwath | New Democratic Party | 2022 | 2022 | Short interim entry following 2022 election |
| 13 | Marit Stiles | New Democratic Party | 2023 | Present | Current NDP opposition leader (as of table date) |
