# Blocked Services in China — Product List with Domains Only

| Company | Product/Service | Domain | Platform |
| --- | --- | --- | --- |
| Google | Google Search | google.com | Web |
| Google | Google Scholar | scholar.google.com | Web |
| Google | Google Docs | docs.google.com | Web |
| Meta | Facebook | facebook.com | Web/App |
| Meta | Instagram | instagram.com | Web/App |
| Wikimedia | Wikipedia | wikipedia.org | Web |
| ByteDance (international) | TikTok | tiktok.com | Web/App |
| OpenAI | ChatGPT | openai.com | Web |
| Valve | Steam Community | steamcommunity.com | Web |
| Automattic | WordPress.com | wordpress.com | Web |
