# Fallout Series Collectible Locations (Fallout 4 + Fallout 3 New Vegas mixed)

| Game | Collectible item | Exact location / source | Area |
|---|---|---|---|
| Fallout 4 | Agility Bobblehead | Wreckage of the FMS Northern Star, inside the ship near the bow | Commonwealth coast |
| Fallout 4 | Barter Bobblehead | Longneck Lukowski's Cannery, upstairs in the metal catwalk office | Northeast Commonwealth |
| Fallout 3 | Strength Bobblehead | Megaton, Lucas Simms' house | Capital Wasteland |
| Fallout 3 | Intelligence Bobblehead | Rivet City, Science Lab on the top deck | Capital Wasteland |
| Fallout: New Vegas | Snow Globes (Goodsprings) | Goodsprings cemetery, near the gravestones | Mojave Wasteland |
| Fallout: New Vegas | Snow Globes (Lucky 38) | Lucky 38 Cocktail Lounge, on a counter | New Vegas Strip |
| Fallout 4 | Guns and Bullets (issue) | Gunners Plaza, on a desk in the broadcast room | Commonwealth |
| Fallout 4 | Charisma Bobblehead | Parsons State Insane Asylum, Cabot House quest access required | Commonwealth |
| Fallout 3 | Medicine Bobblehead | Vault 101, Dad's clinic area | Capital Wasteland |
