# Nonselective Beta Blockers — Member Drugs with Contraindications and Monitoring

| Drug class | Generic name | Brand name(s) | Key contraindication(s) | Monitoring note |
|---|---|---|---|---|
| Nonselective beta blockers | propranolol | Inderal | asthma/COPD exacerbation risk | heart rate, blood pressure |
| Nonselective beta blockers | nadolol | Corgard | severe bradycardia | heart rate |
| Nonselective beta blockers | timolol | Timoptic | bronchospasm risk | intraocular pressure (ophthalmic) |
| Nonselective beta blockers | pindolol | Visken | cardiogenic shock | heart rate |
| Nonselective beta blockers | sotalol | Betapace | QT prolongation | ECG, electrolytes |
| Nonselective beta blockers | carvedilol | Coreg | decompensated HF | weight, BP |
| Nonselective beta blockers | labetalol | Normodyne, Trandate | severe bradycardia | BP |
| Nonselective beta blockers | oxprenolol | Trasicor | bronchospasm risk | heart rate |
| Nonselective beta blockers | penbutolol | Levatol | sinus bradycardia | heart rate |
| Nonselective beta blockers | alprenolol | (various) | AV block | ECG if symptomatic |
