# Global Largest Airlines by Annual Revenue (USD, Company-wide)

| Revenue Rank | Airline | Fiscal Year | Total Revenue (USD billions) | Region | Notes |
|---:|---|---:|---:|---|---|
| 1 | United Airlines (United Airlines Holdings) | 2023 | 53.7 | North America | Consolidated operating revenue |
| 2 | Delta Air Lines | 2023 | 58.0 | North America | Total operating revenue |
| 3 | American Airlines Group | 2023 | 52.8 | North America | Total operating revenue |
| 4 | Lufthansa Group | 2023 | 39.4 | Europe | Group revenue |
| 5 | Air France–KLM Group | 2023 | 30.0 | Europe | Group revenue |
| 6 | International Airlines Group (IAG) | 2023 | 31.4 | Europe | Group revenue (BA, Iberia, etc.) |
| 7 | Emirates | 2023 | 33.0 | Middle East | Airline revenue (approx., converted) |
| 8 | Ryanair Group | 2023 | 10.8 | Europe | Total revenue |
| 9 | Singapore Airlines Group | 2023 | 19.0 | Asia-Pacific | Group revenue |
| 10 | China Southern Airlines | 2023 | 20.5 | Asia-Pacific | Total revenue (approx., converted) |
