# Most Subscribed YouTube Channels (Global) — Owners and Networks Overview

| Rank | Channel | Owner/Company | Country/Region | Category |
| --- | --- | --- | --- | --- |
| 1 | T-Series | Super Cassettes Industries Pvt. Ltd. | India | Music |
| 2 | MrBeast | Beast Industries | United States | Entertainment |
| 3 | Cocomelon – Nursery Rhymes | Moonbug Entertainment | United States/UK | Kids |
| 4 | SET India | Sony Pictures Networks India | India | Entertainment |
| 5 | Kids Diana Show | Kids Diana Show (Brand) | Ukraine/US | Kids |
| 6 | Like Nastya | Like Nastya LLC | Russia/US | Kids |
| 7 | PewDiePie | Felix Kjellberg | Sweden | Gaming |
| 8 | WWE | WWE, Inc. | United States | Sports |
| 9 | Blackpink | YG Entertainment | South Korea | Music |
| 10 | 5-Minute Crafts | TheSoul Publishing | Cyprus | How-to |
| 11 | Zee Music Company | Zee Entertainment Enterprises | India | Music |
| 12 | Justin Bieber | RBMG/Def Jam | Canada/US | Music |
