# Major Newspapers by Brand Reach (Digital + Print Audience)

| Rank (Audience) | Newspaper | Monthly Unique Visitors (Millions) | Primary Market | Notes |
|---:|---|---:|---|---|
| 1 | The New York Times | 145.2 | United States | Digital-heavy readership |
| 2 | The Guardian | 120.4 | United Kingdom | International audience |
| 3 | The Washington Post | 95.7 | United States | Strong national footprint |
| 4 | USA Today | 78.9 | United States | Aggregated network traffic |
| 5 | The Wall Street Journal | 72.1 | United States | Paid subscription skew |
| 6 | Daily Mail | 66.3 | United Kingdom | Tabloid digital reach |
| 7 | Los Angeles Times | 33.4 | United States | Regional + national |
| 8 | The Globe and Mail | 12.8 | Canada | Canadian national |
| 9 | Corriere della Sera | 10.6 | Italy | Italian national |
| 10 | La Repubblica | 9.9 | Italy | Italian national |
