# Debt Contract Limitation Periods by State (Oral vs Written) with Optional Agreement Type Detail

| State | Oral (years) | Written (years) | Additional breakdown (if commonly listed) |
| --- | ---: | ---: | --- |
| Florida | 4 | 5 | Promissory note: 5; Open account: 4 |
| Nevada | 4 | 6 | Often listed with longer written period |
| New York | 6 | 6 | Oral and written frequently summarized as equal |
| Ohio | 6 | 15 | Written period is commonly shown as much longer |
| Oklahoma | 3 | 5 | Often summarized with shorter oral period |
| Pennsylvania | 4 | 4 | Many summaries show the same period for oral/written contracts |
| Tennessee | 6 | 6 | Often summarized as equal across oral/written |
| Utah | 4 | 6 | Commonly summarized as oral shorter than written |
| Virginia | 3 | 5 | Frequently cited split (shorter oral vs written) |
| West Virginia | 5 | 10 | Often summarized with longer written period |
