# Comparison of Popular Video Game Console Emulators (Multi-system) — Features and Downloads

| Emulator | Emulated system(s) | Host platform(s) | Latest version | License | Official homepage/download |
| --- | --- | --- | --- | --- | --- |
| RetroArch | Multi-system (via cores: NES/SNES/GB/GBA/PS1, etc.) | Windows, macOS, Linux, Android, iOS, Web, consoles (varies) | 1.17.x | GPLv3 | https://www.retroarch.com |
| Dolphin | Nintendo GameCube, Wii | Windows, macOS, Linux, Android | 5.0 (stable) / dev builds | GPLv2 | https://dolphin-emu.org/download/ |
| PCSX2 | Sony PlayStation 2 | Windows, macOS, Linux | 1.7.x | GPLv3 | https://pcsx2.net/downloads/ |
| PPSSPP | Sony PSP | Windows, macOS, Linux, Android, iOS | 1.17.x | GPLv2+ | https://www.ppsspp.org/download/ |
| Citra | Nintendo 3DS | Windows, macOS, Linux, Android | Nightly/Canary (varies) | GPLv2 | https://citra-emu.org/download/ |
| Snes9x | Super Nintendo (SNES) | Windows, macOS, Linux, iOS (ports vary) | 1.62.x | Non-commercial / custom | https://www.snes9x.com/ |
| VisualBoyAdvance-M | Game Boy, Game Boy Color, Game Boy Advance | Windows, macOS, Linux | 2.1.x | GPLv2 | https://vba-m.com/ |
| MAME | Arcade (and some consoles/computers) | Windows, macOS, Linux | 0.2xx | GPL-2.0-or-later (with exceptions) | https://www.mamedev.org/ |
| DeSmuME | Nintendo DS | Windows, macOS, Linux | 0.9.13 | GPLv2 | https://desmume.org/ |
| melonDS | Nintendo DS | Windows, macOS, Linux, Android | 0.9.x | GPLv3 | https://melonds.kuribo64.net/
