# Carrier Screening Panel Summary (Conditions Included Without Gene Chromosome Mapping)

| Panel category | Condition included | Why included in panel | Typical inheritance (text) | Screening method |
|---|---|---|---|---|
| Hemoglobinopathies | Sickle cell disease | Common in many populations | Autosomal recessive | CBC + hemoglobin electrophoresis |
| Hemoglobinopathies | Alpha-thalassemia | Microcytosis risk | Autosomal recessive | CBC + reflex testing |
| Metabolic | Tay–Sachs disease | High impact pediatric disease | Autosomal recessive | Enzyme assay / targeted variants |
| Metabolic | Canavan disease | Neurodegenerative | Autosomal recessive | Targeted variant testing |
| Neuromuscular | Spinal muscular atrophy | Actionable reproductive risk | Autosomal recessive | Copy-number assay |
| Endocrine | Congenital adrenal hyperplasia | Severe neonatal risk | Autosomal recessive | Targeted variants |
| Respiratory | Cystic fibrosis | High carrier frequency | Autosomal recessive | Variant panel |
| X-linked | Fragile X syndrome | Expansion-related risk | X-linked | CGG repeat sizing |
| Other | Familial Mediterranean fever | Episodic inflammation | Autosomal recessive | Variant panel |
