# Secondary School Subject Options by Stage (GCSE vs A Level) — Example Offer List

| Department | Subject | Available at GCSE | Available at A level | Notes |
| --- | --- | --- | --- | --- |
| English | English Language | Yes | Yes | Often paired/combined with Literature depending on school |
| English | English Literature | Yes | Yes | Commonly offered at both stages |
| Mathematics | Mathematics | Yes | Yes | Core GCSE; A level usually optional but widely available |
| Mathematics | Further Mathematics | No | Yes | Typically A level only |
| Science | Biology | Yes | Yes | May be separate sciences or combined at GCSE |
| Science | Chemistry | Yes | Yes |  |
| Science | Physics | Yes | Yes |  |
| Humanities | History | Yes | Yes |  |
| Humanities | Geography | Yes | Yes |  |
| Languages | French | Yes | Yes | A level depends on cohort numbers |
| Languages | Spanish | Yes | Yes |  |
| Arts | Art & Design | Yes | Yes | Sometimes specific routes (Fine Art, Photography) at A level |
| Arts | Music | Yes | Yes | Performance/portfolio requirements may apply |
| Computing | Computer Science | Yes | Yes |  |
| Social Sciences | Psychology | No | Yes | Commonly introduced at A level |
| Business | Business Studies | Yes | Yes | Sometimes “Business” at A level |
| PE | Physical Education | Yes | Yes | Some schools offer GCSE PE and A level PE |
| Design & Technology | Design & Technology | Yes | No | Many schools do not run it at A level |
| Performing Arts | Drama | Yes | Yes | May be titled “Drama and Theatre” at A level |
