# Ongoing Armed Conflicts Involving Turkey — Status Snapshot

| Start | Conflict | Area | Status | Notes |
|---|---|---|---|---|
| 1978 | Kurdish–Turkish conflict | Turkey | Ongoing | Domestic security operations |
| 2011 | Syrian civil war involvement | Syria | Ongoing | Cross-border operations |
| 2014 | Anti-ISIS campaign (Turkey) | Syria/Iraq | Ongoing | Air operations |
| 2015 | Southeastern clashes | Turkey | Ongoing | Urban fighting period |
| 2019 | Northern Syria operations | Northern Syria | Ongoing | Buffer zone enforcement |
| 2020 | Eastern Mediterranean tensions | Eastern Mediterranean | Ongoing | Naval standoffs |
| 2022 | Counter-terror raids (Iraq) | Northern Iraq | Ongoing | Periodic raids |
| 2023 | Border security incidents | Turkey–Syria | Ongoing | Sporadic shelling |
| 2024 | Red Sea naval deployment | Red Sea | Ongoing | Maritime security |
