# Denver, Colorado — Monthly Temperature Averages with Record Extremes

| Month | Avg High (°F) | Avg Low (°F) | Mean (°F) | Record High (°F) | Record Low (°F) |
|---|---:|---:|---:|---:|---:|
| Jan | 45 | 18 | 31.5 | 77 | -29 |
| Feb | 47 | 20 | 33.5 | 80 | -30 |
| Mar | 55 | 27 | 41.0 | 85 | -11 |
| Apr | 63 | 35 | 49.0 | 95 | 1 |
| May | 73 | 45 | 59.0 | 99 | 21 |
| Jun | 83 | 54 | 68.5 | 105 | 34 |
| Jul | 89 | 60 | 74.5 | 105 | 45 |
| Aug | 87 | 59 | 73.0 | 103 | 42 |
| Sep | 79 | 51 | 65.0 | 99 | 25 |
| Oct | 67 | 38 | 52.5 | 92 | 1 |
| Nov | 53 | 26 | 39.5 | 80 | -14 |
| Dec | 45 | 18 | 31.5 | 75 | -25 |
