# List of highest - grossing films in Singapore
> Top - grossing films in 2006

| Rank | Title | Studio | Gross | Language |
| --- | --- | --- | --- | --- |
| 1 | X-Men: The Last Stand | 20th Century Fox | $4.8m | English |
| 2 | Pirates of the Caribbean: Dead Man's Chest | Walt Disney Pictures | $4.5m | English |
| 3 | I Not Stupid 2 | Raintree Pictures | $4.18m | Chinese |
| 4 | Mission: Impossible III | UIP | $4.15m | English |
| 5 | Superman Returns | Warner Brothers | $3.8m | English |
| 6 | The Da Vinci Code | Columbia Pictures | $3.18m | English |
| 7 | Casino Royale | Sony Pictures | $3.15m | English |
| 8 | Fearless | UIP | $3.11m | Chinese |
| 9 | Happy Feet | Warner Brothers | $2.8m | English |
| 10 | Ice Age 2: The Meltdown | 20th Century Fox | $2.55m | English |
