# Extension Due Dates vs. Filing-Only Extensions for State Income Tax Returns (Selected States)

| State | Is an Extension Automatic? | If Not Automatic, What Triggers/Requests the Extension? | Extension Request Due Date (When Applicable) | Extended Filing Due Date | Payment Deadline (If Different) |
|---|---|---|---|---|---|
| Illinois | Yes | N/A | N/A | Oct 15 | Original due date (pay by original deadline) |
| Idaho | Yes | N/A | N/A | Oct 15 | Original due date |
| Indiana | Yes (with federal extension) | Federal extension filed | Original due date (federal extension timing) | Oct 15 | Original due date |
| Iowa | Yes | N/A | N/A | Oct 31 | Original due date |
| Georgia | No | State extension filing (or recognized federal extension depending on situation) | Original due date | Oct 15 | Original due date |
| New Jersey | No | State extension request required | Original due date | Oct 15 | Original due date (often requires payment with request) |
| Ohio | No | State extension request or accepted federal extension (varies by scenario) | Original due date | Oct 15 | Original due date |
| Pennsylvania | No | State extension request; federal extension may be accepted for filing | Original due date | Oct 15 | Original due date |
| Virginia | No | State extension request or recognized federal extension | Original due date | Nov 1 | Original due date |
| Missouri | No | State extension request or recognized federal extension | Original due date | Oct 15 | Original due date |
