# 2016 NFL Draft Big Board (Top 30 Overall Prospects)

| Overall Rank | Player | Position | School |
| --- | --- | --- | --- |
| 1 | Laremy Tunsil | OT | Ole Miss |
| 2 | Joey Bosa | DE | Ohio State |
| 3 | Jalen Ramsey | CB | Florida State |
| 4 | Carson Wentz | QB | North Dakota State |
| 5 | Jared Goff | QB | California |
| 6 | DeForest Buckner | DT | Oregon |
| 7 | Ronnie Stanley | OT | Notre Dame |
| 8 | Ezekiel Elliott | RB | Ohio State |
| 9 | Myles Jack | LB | UCLA |
| 10 | Jack Conklin | OT | Michigan State |
| 11 | Vernon Hargreaves III | CB | Florida |
| 12 | Shaq Lawson | DE | Clemson |
| 13 | Leonard Floyd | OLB | Georgia |
| 14 | Laquon Treadwell | WR | Ole Miss |
| 15 | Darron Lee | LB | Ohio State |
| 16 | Taylor Decker | OT | Ohio State |
| 17 | Corey Coleman | WR | Baylor |
| 18 | Eli Apple | CB | Ohio State |
| 19 | Sheldon Rankins | DT | Louisville |
| 20 | William Jackson III | CB | Houston |
| 21 | Paxton Lynch | QB | Memphis |
| 22 | Kevin Dodd | DE | Clemson |
| 23 | Robert Nkemdiche | DT | Ole Miss |
| 24 | Josh Doctson | WR | TCU |
| 25 | Emmanuel Ogbah | DE | Oklahoma State |
| 26 | Noah Spence | DE | Eastern Kentucky |
| 27 | A'Shawn Robinson | DT | Alabama |
| 28 | Karl Joseph | S | West Virginia |
| 29 | Jason Spriggs | OT | Indiana |
| 30 | Kendall Fuller | CB | Virginia Tech |
