# Starbucks Decaf & Low-Caffeine Drinks (No Size Breakdown)

| Starbucks beverage (decaf/low-caf focus) | Notes | Caffeine (mg per serving) |
| --- | --- | --- |
| Decaf Pike Place Roast | brewed coffee | 20 |
| Decaf Caffè Americano | espresso + water | 15 |
| Decaf Caffè Latte | espresso + milk | 10 |
| Decaf Cappuccino | espresso + foam | 10 |
| Decaf Caramel Macchiato | vanilla + milk + espresso | 10 |
| Decaf Espresso (Solo) | 1 shot | 5 |
| White Hot Chocolate | no coffee/tea | 0 |
| Steamed Milk | no coffee/tea | 0 |
| Herbal Tea (no caffeine) | chamomile/mint etc. | 0 |
| Hot Chocolate | cocoa-based | 0 |
| Strawberry Crème Frappuccino | crème base | 0 |
