# Irish Surnames in the 1911 Census (frequency only; Gaelic column intentionally omitted)

| District Electoral Division | County | Surname | Households | Rank in District | Remarks |
|---|---|---|---:|---:|---|
| Ballyhaunis Rural | Mayo | Duffy | 99 | 1 | Strong cluster |
| Ballyhaunis Rural | Mayo | Horan | 29 | 2 | Common in parish registers |
| Ballyhaunis Rural | Mayo | Higgins | 26 | 3 | Variants: Higgin(s) |
| Moydow | Longford | Farrell | 31 | 1 | Multiple lines |
| Moydow | Longford | Dowd | 10 | 2 | Often appears as Dowde |
| Moydow | Longford | Donelan | 9 | 3 | Spelling fluctuates |
| Moydow | Longford | McGarry | 8 | 4 | Also Magarry |
| Moydow | Longford | Reilly | 7 | 5 | Sometimes O'Reilly |
| Kilmovee | Mayo | Frain | 28 | 2 | Rare outside area |
| Kilmovee | Mayo | Loftus | 17 | 5 | Coastal origins noted |
