# Guitar Hero (2005) — Soundtrack vs. Cover Original Audio and Chart Notes

| Song title | Artist | Year | Recording type | In-game note |
| --- | --- | --- | --- | --- |
| "I Love Rock 'n Roll" | Joan Jett & the Blackhearts | 1982 | Cover | Shortened outro |
| "Iron Man" | Black Sabbath | 1970 | Cover | Tempo slightly adjusted |
| "I Wanna Be Sedated" | Ramones | 1978 | Cover | Censored lyric |
| "Infected" | Bad Religion | 1994 | Cover | Crowd noise intro |
| "Fire it Up" | Black Label Society | 2005 | Cover | Drop-tuned chart |
| "Fly on the Wall" | Din | 2005 | Cover | Alternate lead chart |
| "Guitar Hero" | Monkey Steals the Peach | 2005 | Cover | Bonus track |
| "Get Ready 2 Rokk" | Freezepop | 2001 | Cover | Synth part simplified |
| "Thunder Kiss '65" | White Zombie | 1992 | Cover | Extended solo section |
| "Stellar" | Incubus | 1999 | Cover | Solo truncated |
