# Deer-Resistant Landscape Plants (No Resistance Ratings Provided)

| Plant (Common Name) | Latin Name | Category | Notes |
| --- | --- | --- | --- |
| Russian Sage | Salvia yangii (syn. Perovskia atriplicifolia) | Perennial | Aromatic foliage; often suggested for low browsing |
| Lavender | Lavandula angustifolia | Perennial | Fragrant flowers; drought-tolerant |
| Boxwood | Buxus sempervirens | Shrub | Evergreen; commonly used for hedges |
| Yarrow | Achillea millefolium | Perennial | Tough groundcover-like perennial |
| Daffodil | Narcissus spp. | Bulb | Spring bulb; toxic to many animals |
| Juniper | Juniperus spp. | Shrub/Tree | Evergreen; many cultivars |
| Catmint | Nepeta × faassenii | Perennial | Long bloom; aromatic |
| Lamb's Ear | Stachys byzantina | Perennial | Fuzzy leaves; edging plant |
| Hellebore | Helleborus orientalis | Perennial | Early spring bloom; shade-tolerant |
| Butterfly Bush | Buddleja davidii | Shrub | Summer flowers; attracts pollinators |
