# Road to Hiroshima  US–Japan Pacific War Timeline of Decision-Relevant Events (1941–1945)

| Year | Date (if known) | Event title | One-line significance |
|---|---|---|---|
| 1941 | 7 Dec 1941 | Pearl Harbor attack | Triggers full U.S. entry into war with Japan. |
| 1942 | 9 Apr 1942 | Fall of Bataan | Signals early Japanese dominance and shapes U.S. determination in the Pacific. |
| 1942 | 4–7 Jun 1942 | Battle of Midway | Major Japanese carrier losses blunt Japan’s offensive capability. |
| 1943 | 2 Feb 1943 | Guadalcanal secured | Confirms Allied shift to sustained island-by-island advance. |
| 1944 | 15 Jun 1944 | Saipan invasion begins | Places Japan within range of B-29 strategic bombing (Marianas campaign). |
| 1944 | 24 Jul 1944 | Tinian invasion begins | Leads to development of a primary B-29 base complex for strikes on Japan. |
| 1945 | 9–10 Mar 1945 | Tokyo incendiary raid | Escalates strategic bombing; underscores pressure for war-ending measures. |
| 1945 | 1 Apr 1945 | Okinawa campaign starts | Demonstrates likely high casualties for an invasion of the Japanese home islands. |
| 1945 | 8 May 1945 | Germany surrenders (VE Day) | Allows U.S. resources and attention to concentrate on ending the Pacific war. |
| 1945 | 16 Jul 1945 | Trinity nuclear test | Confirms the atomic bomb is operational. |
| 1945 | 26 Jul 1945 | Potsdam Declaration issued | Final major surrender demand to Japan before atomic use. |
| 1945 | 6 Aug 1945 | Hiroshima bombed | Timeline endpoint: first wartime atomic bombing. |
