# Imaging CPT Master Index (Spine MRI + Common Joint MRI Codes)

| Section | Exam | CPT Code | Contrast Detail |
| --- | --- | --- | --- |
| Spine | Cervical spine MRI | 72141 | Without contrast |
| Spine | Cervical spine MRI | 72156 | With & without contrast |
| Spine | Thoracic spine MRI | 72146 | Without contrast |
| Spine | Lumbar spine MRI | 72148 | Without contrast |
| Spine | Lumbar spine MRI | 72158 | With & without contrast |
| Spine | Sacrum/coccyx MRI | 72196 | Without contrast |
| Joints | Knee MRI | 73721 | Without contrast |
| Joints | Shoulder MRI | 73221 | Without contrast |
| Joints | Hip MRI | 73721 | Without contrast (often used for lower extremity joints) |
