# List of cruise ships
> S

| Name | Operator | Began operation | Tonnage | Status |
| --- | --- | --- | --- | --- |
| Sagafjord | Saga Cruises | 1997 | 24,474 | Sold for scrap in May 2010. |
| Saga Ruby | Saga Cruises | 2005 | 24,492 | Operating; formerly Caronia , built as Vistafjord |
| Saga Sapphire | Saga Cruises | 1981 | 37,301 | Operating; formerly Europa , SuperStar Europe , SuperStar Aries , Holiday Dream , Bleu de France |
| Salamis Glory | Cypriot Salamis Cruises | 1996 | 10,392 | Formerly: Danaos , Constellation , Regent Spirit , Anna Nery . Scrapped in 2010 |
| Sally Albatross | Sally Cruise | 1986 | 15,179 | Formerly Viking Saga . Destroyed in a shipboard fire, 1990. Parts of the hull were salvaged for Sally Albatross (II) . |
| Sapphire | Louis Cruise Lines | 1967 | 12,263 | Formerly: Italia , Ocean Princess , Sea Prince , Sea Prince V , Sea Prince (again), Princesa Oceanica . Sold for scrap in 2012. |
| Sapphire Princess | Princess Cruises | 2004 | 115,875 | Operating |
| Sea Breeze | Dolphin Cruise Lines | 1989 | 21,000 | Ended operation in 2000. Sank later that year. Formerly: Federico C. , Royale , StarShip Royale |
| Sea Cloud | Sea Cloud Cruises | 1979 | 2,523 | Operating, formerly Hussar II , USCGC WPG-284 , IX-99 , Angelita , Patria , Antarna , Sea Cloud of Cayman |
| Sea Cloud II | Sea Cloud Cruises | 2001 | 3,849 | Operating |
| Sea Diamond | Louis Hellenic Cruise Lines | 2006 | 22,412 | Formerly Birka Princess . Capsized and sank within the caldera of the Greek island of Santorini 6 April 2007 after running aground. |
| Sea Explorer | Poseidon Expeditions | 2013 | 4,200 | Operating |
| Sea Princess | Princess Cruises | 1998 | 77,000 | Transferred to P&O Cruises in 2002 as Adonia, but returned to Princess in 2005. Operating |
| Seabourn Legend | Seabourn Cruise Line | 1996 | 10,000 | Operating. Formerly: Royal Viking Queen , Queen Odyssey |
| Seabourn Odyssey | Seabourn Cruise Line | 2009 | 32,000 | Operating |
| Seabourn Sojourn | Seabourn Cruise Line | 2010 | 32,000 | Operating |
| Seabourn Pride | Seabourn Cruise Line | 1988 | 10,000 | Operating |
| Seabourn Quest | Seabourn Cruise Line | 2011 | 32,000 | Operating |
| Seabourn Spirit | Seabourn Cruise Line | 1989 | 10,000 | Operating |
| SeaDream I | SeaDream Yacht Club | 1984 | 4,333 | Operating. Originally, the Sea Goddess I , formerly: Seabourn Goddess I |
| SeaDream II | SeaDream Yacht Club | 1985 | 4,333 | Operating. Originally, the Sea Goddess II , formerly: Seabourn Goddess II |
| SeaWind Crown | Seawind Cruise Lines | 1991 | 23,306 | Formerly: the Infante Dom Henriquec (1961–75) and the Vasco de Gama (1988–91), Operated as a hotel 1976-88, laid up in 2002, sold and renamed the Barcelona , sent to the breakers in India in 2004 |
| Serenade of the Seas | Royal Caribbean International | 2003 | 90,090 | Operating |
| Serenissima | Premier Cruises | 1960 | 2,598 | Operating; originally, the Harald Jarl , formerly: Andrea |
| Seven Seas Mariner | Regent Seven Seas Cruises | 2001 | 48,075 | Operating |
| Seven Seas Navigator | Regent Seven Seas Cruises | 1999 | 28,550 | Operating |
| Seven Seas Voyager | Regent Seven Seas Cruises | 2003 | 42,363 | Operating |
| Silver Cloud | Silversea Cruises | 1994 | 16,800 | Operating |
| Silver Explorer | Silversea Cruises | 2007 | 6,130 | Operating. Formerly: MS Delfin Clipper , MS Sally Clipper , MS Baltic Clipper , MS Delfin Star , MS Dream 21 , MS World Discoverer , MS World Adventurer , MS Prince Albert II |
| Silver Shadow | Silversea Cruises | 2000 | 28,258 | Operating |
| Silver Wind | Silversea Cruises | 1995 | 16,800 | Operating |
| Silver Whisper | Silversea Cruises | 2001 | 28,258 | Operating |
| Silver Spirit | Silversea Cruises | 2009 | 36,000 | Operating |
| Siritara Ocean Queen | Siritara Enterprise | 1964 | 6,262 | Capsized in 2006. Originally, the Bashkiriya (1964–1992), Odessa Song (1992–1997), Royal Dream (1997–1998), Silver Star (1998–2003), Nandini (2003–2003), Olviara (2003–2004), Ocean Princess (2004–2006) |
| Skorpios I | Cruceros Skorpios | 1978 |  | Laid up |
| Skorpios II | Cruceros Skorpios | 1988 | 1,210 | Operating |
| Skorpios III | Cruceros Skorpios | 1995 | 1,600 | Operating |
| Sovereign | Pullmantur Cruises | 1988 | 73,192 | Operating; formerly: Sovereign of the Seas |
| Spirit of Adventure | Saga Cruises | 2006 | 9,570 | Operating; formerly Berlin , Princess Mahsuri , Orange Melody |
| Spirit of Alaska | Cruise West |  |  | Operating |
| Spirit of Columbia | Cruise West |  |  | Operating |
| Spirit of Discovery | Cruise West |  |  | Operating |
| Spirit of Endeavour | Cruise West |  |  | Operating; formerly Newport Clipper |
| Spirit of Glacier Bay | Cruise West |  |  | Operating; formerly Spirit of Nantucket and Nantucket Clipper |
| Spirit of Oceanus | Cruise West |  |  | Ended service 1992. Subsequently Renaissance Five , Sun Viva , Megatar Sagittarius , Hanseatic Renaissance . |
| Spirit of Yorktown | Cruise West | 1988 | 2,354 | Operating; former Yorktown Clipper |
| Spirit of '98 | Cruise West |  |  | Operating |
| Splendour of the Seas | Royal Caribbean International | 1996 | 70,000 | Operating |
| Star Clipper | Star Clippers | 1992 | 2,298 | Operating |
| Star Flyer | Star Clippers | 1991 | 2,298 | Operating |
| Star Pisces | Star Cruises | 1993 | 40,053 | Operating. Former Kalypso . |
| Star Princess | Princess Cruises | 2002 | 108,977 | Operating; underwent repairs following a shipboard fire |
| Statendam | Holland America Line | 1994 | 55,451 | Operating |
| Stella Polaris | Bergen Line - Sweden | 1927 | 5,020 | 1927 - 1940: Cruising; 1940 - 1945: German Army; 1945: Bergen Line + rebuilt; 1952: Clipper Line - Sweden + rebuilt; rebuilt in 1954, 1965 and 1968; 1969: International Houdse Cy. - Japan Floating hotel in Kisho Nishiura (Japan) under the name " Stella Polaris - Floating Restaurant Scandinavia". 2005: Petro Fast AB - Sweden . End of August 2006: leaves under tow her berth for the first time in 30 years for refitting and voyage to Europe. Sept. 2, 2005: Sunk while under tow in southeastern Japanese waters in 70 meters deep water. Unconfirmed plans to raise her from the ocean floor or to rebuild this iconic cruise ship. [11] |
| SS Stella Solaris | Royal Olympic Cruises | 1953 | 10,595 | Formerly Cambodge ; rebuilt 1971-1973; scrapped 2003 |
| Sun 11 | German Atlantic Line | 1967 | 25,338 | Ended service 1973. Built as the ocean liner SS Shalom . Subsequently Hanseatic , Doric , Royal Odyssey , Regent Sun . Sunk 2001. |
| Sun Princess | Princess Cruises | 1995 | 77,499 | Operating |
| Sun Vista | Sun Cruises | 1997 | 30,440 | Former Meridian , Galileo , built as ocean liner SS Galileo Galilei . Sank 1999. |
| SuperStar Aquarius | Star Cruises | 2007 | 50,764 | Operating, former Windward and Norwegian Wind . |
| SuperStar Gemini | Star Cruises | 1998 | 50,764 | Operating near Shanghai, China. Formerly Norwegian Dream and Dreamward . |
