# Law & Order  Special Victims Unit —  Birthright  (Season 6, Episode 1) — Episode Cast (Actor to Character)

| Actor | Character in Episode | Billing Type | Notes |
|---|---|---|---|
| Mariska Hargitay | Det. Olivia Benson | Main cast | SVU squad detective |
| Christopher Meloni | Det. Elliot Stabler | Main cast | SVU squad detective |
| Richard Belzer | Det. John Munch | Main cast | SVU squad detective |
| Dann Florek | Capt. Donald Cragen | Main cast | Commanding officer |
| BD Wong | Dr. George Huang | Main cast | Forensic psychiatrist |
| Diane Neal | ADA Casey Novak | Main cast | Prosecutor assigned to SVU |
| Tamara Tunie | Dr. Melinda Warner | Recurring | Medical examiner |
| Ice-T | Det. Odafin "Fin" Tutuola | Main cast | SVU squad detective |
| Guest Actor: Frank Whaley | Dale Stuckey | Guest | Lab tech (appears in episode) |
