# Daylight Saving Rules Summary (No Specific Switch Dates)

| Country/Region | Observes DST? | Typical start rule (description) | Typical end rule (description) | Clock change amount |
|---|---|---|---|---|
| United States | Yes | Second Sunday in March (at night) | First Sunday in November (at night) | +1 hour |
| European Union (most) | Yes | Last Sunday in March | Last Sunday in October | +1 hour |
| United Kingdom | Yes | Last Sunday in March | Last Sunday in October | +1 hour |
| Australia (some states) | Partial | First Sunday in October (varies) | First Sunday in April (varies) | +1 hour |
| Brazil | No | — | — | — |
| Japan | No | — | — | — |
| India | No | — | — | — |
| Morocco | Yes (with exceptions) | Spring change (varies) | Autumn change (varies) | +1 hour |
| Mexico | Mixed | Spring change (varies by border states) | Autumn change (varies by border states) | +1 hour |
| Russia | No | — | — | — |
| South Africa | No | — | — | — |
| Chile | Yes | Varies by decree | Varies by decree | +1 hour |
