# Frankish and Early French Leaders  Monarchs and Key Court Officials (8th–10th centuries)

| Category | Name | Years in role | Polity | Notes |
| --- | --- | --- | --- | --- |
| King of the Franks | Pepin the Short | 751–768 | Frankish Kingdom | First Carolingian king |
| Mayor of the Palace | Charles Martel | 718–741 | Austrasia/Francia | De facto ruler, not a monarch |
| King of the Franks | Charlemagne | 768–814 | Frankish Kingdom | Also Emperor (from 800) |
| Emperor of the Romans | Louis the Pious | 814–840 | Carolingian Empire | Imperial title in addition to kingship |
| Queen/Regent | Judith of Bavaria | 819–843 | Carolingian Empire | Influential consort and political actor |
| King of the Franks | Charles the Simple | 898–922 | West Francia | Later Carolingian ruler |
| Chancellor | Hincmar of Reims | 845–882 | West Francia | Archbishop; major political figure |
| King of the Franks | Robert I | 922–923 | West Francia | Robertian king |
| Count (Regional noble) | Odo of Paris | 885–898 | West Francia | Count; later king (not in this row) |
