# Zinc Content in Foods (mg per 100 g Only; No Daily Target Column)

| Food | Zinc (mg) per 100 g | Preparation | Density note |
|---|---:|---|---|
| Oysters, cooked | 78.0 | steamed | Very high per weight |
| Fortified cereal | 52.0 | ready-to-eat | Varies by brand |
| Beef, lean, cooked | 12.0 | grilled | High per weight |
| Veal liver, cooked | 11.5 | pan-seared | Nutrient-dense |
| Pumpkin seeds, roasted | 10.3 | roasted | High per weight |
| Venison, cooked | 8.6 | roasted | High per weight |
| Crab, cooked | 6.5 | boiled | Moderate-high |
| Chickpeas, cooked | 2.5 | boiled | Moderate |
| Milk | 0.4 | fluid | Low per weight |
