# Blackburn Rovers FC — Squad Award Winners and International Recognition

| Category | Person | Award/Recognition | Year(s) | Notes |
| --- | --- | --- | --- | --- |
| Individual award | Alan Shearer | PFA Players' Player of the Year | 1994, 1995 | Won while at Blackburn Rovers |
| Individual award | Alan Shearer | Premier League Golden Boot | 1994–95 | League top scorer |
| Individual award | Tim Sherwood | Blackburn Rovers Player of the Year | 1996 | Club fan-voted award |
| Individual award | Brad Friedel | Blackburn Rovers Player of the Year | 2002, 2003 | Goalkeeper award |
| International honour | Tugay Kerimoğlu | Turkey National Team Caps | 90+ | Representative statistic, not a club trophy |
| Individual award | Morten Gamst Pedersen | Blackburn Rovers Player of the Year | 2004 | Club internal award |
| Hall/recognition | Kenny Dalglish | English Football Hall of Fame | 2002 | Managerial recognition |
| Team of the Year | Chris Sutton | PFA Team of the Year | 1994–95 | Selected in XI |
| Individual award | Damien Duff | PFA Young Player Nominee | 2000 | Nomination rather than trophy |
