# Calories in Common Grocery Staples and Raw Ingredients (Per 100 g)

| Item | Typical Form | Serving Size | Calories (kcal) |
|---|---|---:|---:|
| White rice | cooked | 100 g | 130 |
| Brown rice | cooked | 100 g | 111 |
| Chicken breast | raw, skinless | 100 g | 120 |
| Salmon | raw | 100 g | 208 |
| Olive oil | pure | 1 tbsp (13.5 g) | 119 |
| Avocado | raw | 1/2 medium (100 g) | 160 |
| Banana | raw | 1 medium (118 g) | 105 |
| Broccoli | steamed | 1 cup (156 g) | 54 |
| Rolled oats | dry | 1/2 cup (40 g) | 150 |
| Almonds | dry roasted | 1 oz (28 g) | 164 |
| Cheddar cheese | regular | 1 oz (28 g) | 113 |
| Whole milk | beverage | 1 cup (244 g) | 149 |
