# Regional Routing Numbers by State-Level Region (Upstate Downstate and Multi-Region States)

| State-Level Region | Routing/Transit Number |
| --- | --- |
| New York - Downstate | 021000021 |
| New York - Upstate | 022300173 |
| Texas - North | 111000025 |
| Texas - South | 114000093 |
| California - Northern | 121000248 |
| California - Southern | 122000661 |
| Illinois - Chicago Metro | 071000013 |
| Illinois - Downstate | 081000210 |
| Pennsylvania - Eastern | 031000503 |
| Pennsylvania - Western | 043000096 |
| Washington - West | 125000024 |
| Washington - East | 125100403 |
