# Apple iPod nano (by generation) pricing comparison across listings

| Generation / Model | Storage | Color | Condition | Listing Type | List Price (USD) | Current Price (USD) | Seller / Marketplace | Notes |
|---|---:|---|---|---|---:|---:|---|---|
| iPod nano 7th Gen (2015) | 16 GB | Silver | New | Retail | 149.00 | 144.98 | Amazon (electronics listing) | Free shipping on listing |
| iPod nano 7th Gen (2015) | 16 GB | Space Gray | Used – Excellent | Resale | — | 109.99 | eBay | Light wear, tested working |
| iPod nano 7th Gen (2012) | 16 GB | Blue | Used – Good | Resale | — | 89.95 | Swappa | Minor scratches on back |
| iPod nano 6th Gen (2010) | 8 GB | Green | Used – Fair | Resale | — | 44.99 | Facebook Marketplace | No box, no accessories |
| iPod nano 6th Gen (2010) | 16 GB | Pink | Refurbished | Refurb | 159.00 | 69.00 | Third‑party refurb store | New battery claimed |
| iPod nano 5th Gen (2009) | 16 GB | Black | Used – Good | Resale | — | 54.00 | eBay | Includes USB cable |
| iPod nano 4th Gen (2008) | 8 GB | Purple | Used – Good | Resale | — | 39.99 | Etsy (vintage electronics) | Cosmetic condition emphasized |
| iPod nano 3rd Gen (2007) | 4 GB | Silver | Used – Acceptable | Resale | — | 24.50 | eBay | Engraved back plate |
| iPod nano 2nd Gen (2006) | 2 GB | Blue | Used – Good | Resale | — | 19.99 | Local classifieds | Battery life unknown |
| iPod nano 1st Gen (2005) | 1 GB | White | For parts | Parts/Repair | — | 9.95 | eBay | Does not hold charge |
