# Glycemic Index (GI) of Common Breakfast Foods (Glucose = 100)

| Food item | GI (glucose=100) | Typical serving size |
|---|---:|---|
| Rolled oats porridge (plain) | 55 | 1 cup cooked |
| Instant oatmeal (plain) | 79 | 1 packet prepared |
| Cornflakes | 81 | 1 cup |
| Bran flakes | 74 | 1 cup |
| Muesli (untoasted) | 56 | 1 cup |
| White bread (standard) | 75 | 1 slice |
| Whole wheat bread | 69 | 1 slice |
| Sourdough bread | 54 | 1 slice |
| Plain bagel | 72 | 1 medium |
| Rice cakes (plain) | 82 | 2 cakes |
| Special: Yogurt (plain, unsweetened) | 35 | 3/4 cup |
| Special: Orange juice | 50 | 1 cup |
