# Mickey Mouse Clubhouse — Recurring & Guest Voice Cast by Character

| Character (show) | Voice actor | Role type | Example function in show (role label) |
| --- | --- | --- | --- |
| Professor Ludwig Von Drake | Corey Burton | Recurring | "Professor" / narrator-style helper |
| Toodles | Rob Paulsen | Recurring | Helper device voice |
| Chip | Tress MacNeille | Guest/recurring | Chipmunk (Chip) |
| Dale | Corey Burton | Guest/recurring | Chipmunk (Dale) |
| Clarabelle Cow | April Winchell | Recurring | Friend/neighbor |
| Willie the Giant | Jim Cummings | Guest/recurring | Giant character |
| Mortimer Mouse | Maurice LaMarche | Guest | Rival character |
| Donald Duck | Tony Anselmo | Main (cross-listed) | Core clubhouse member |
| Daisy Duck | Tress MacNeille | Main (cross-listed) | Core clubhouse member |
| Mickey Mouse | Wayne Allwine | Main (cross-listed) | Host/lead |
