# Common Polyatomic Ions  Charge Sign and Ion Notation

| Ion Type | Polyatomic Ion | Charge Sign | Name |
|---|---|---|---|
| Cation | NH4+ | Positive (+) | Ammonium |
| Cation | H3O+ | Positive (+) | Hydronium |
| Anion | OH- | Negative (−) | Hydroxide |
| Anion | NO3- | Negative (−) | Nitrate |
| Anion | NO2- | Negative (−) | Nitrite |
| Anion | SO4^2- | Negative (−) | Sulfate |
| Anion | SO3^2- | Negative (−) | Sulfite |
| Anion | CO3^2- | Negative (−) | Carbonate |
| Anion | HCO3- | Negative (−) | Bicarbonate (hydrogen carbonate) |
| Anion | PO4^3- | Negative (−) | Phosphate |
| Anion | CH3COO- | Negative (−) | Acetate |
| Anion | CN- | Negative (−) | Cyanide |
