# Public Holidays in Japan in 2026

| Day of Week | Date (2026) | Holiday Name | Notes / Remarks |
|---|---|---|---|
| Thursday | Jan 01 | New Year's Day | National holiday; start of New Year period |
| Monday | Jan 12 | Coming of Age Day | Observed on the 2nd Monday of January |
| Wednesday | Feb 11 | National Foundation Day | Commemorates the foundation of Japan |
| Monday | Feb 23 | Emperor's Birthday | Current emperor's birthday; national holiday |
| Friday | Mar 20 | Vernal Equinox Day | Date varies slightly year to year (astronomical) |
| Wednesday | Apr 29 | Shōwa Day | Part of Golden Week |
| Monday | May 04 | Greenery Day | Golden Week holiday |
| Tuesday | May 05 | Children's Day | Golden Week holiday |
| Monday | Jul 20 | Marine Day | Observed on the 3rd Monday of July |
| Monday | Sep 21 | Respect for the Aged Day | Observed on the 3rd Monday of September |
| Wednesday | Sep 23 | Autumnal Equinox Day | Date varies slightly year to year (astronomical) |
| Monday | Oct 12 | Sports Day | Observed on the 2nd Monday of October |
| Tuesday | Nov 03 | Culture Day | National holiday |
| Monday | Nov 23 | Labor Thanksgiving Day | National holiday |
| Wednesday | Dec 23 | Year-end (No national holiday) | Japan has no national holiday on Dec 23 in recent years |
