# U.S. Presidents and the Supreme Court Justices They Appointed (Grouped by President)

| President | Justice appointed | Court role | Appointment type (field equivalent) | Nomination year | Notes |
|---|---|---|---|---|---|
| Franklin D. Roosevelt | Hugo Black | Associate Justice | Appointed by | 1937 | Confirmed |
| Franklin D. Roosevelt | Felix Frankfurter | Associate Justice | Appointed by | 1939 | Confirmed |
| Dwight D. Eisenhower | Earl Warren | Chief Justice | Appointed by | 1953 | Confirmed |
| Dwight D. Eisenhower | William J. Brennan Jr. | Associate Justice | Appointed by | 1956 | Confirmed |
| Richard Nixon | Warren E. Burger | Chief Justice | Appointed by | 1969 | Confirmed |
| Richard Nixon | Harry Blackmun | Associate Justice | Appointed by | 1970 | Confirmed |
| Ronald Reagan | Anthony Kennedy | Associate Justice | Appointed by | 1987 | Confirmed |
| Ronald Reagan | Sandra Day O'Connor | Associate Justice | Appointed by | 1981 | Confirmed |
| Bill Clinton | Stephen Breyer | Associate Justice | Appointed by | 1994 | Confirmed |
| George H. W. Bush | Clarence Thomas | Associate Justice | Appointed by | 1991 | Confirmed |
