# List of opera companies in Europe
> Austria

| Company | Principal theatre | Principal location |
| --- | --- | --- |
| Bregenzer Festspiele |  | Bregenz |
| OpernAir Gars |  | Gars am Kamp |
| Oper Graz |  | Graz |
| Innsbrucker Festwochen der Alten Musik |  | Innsbruck |
| Tiroler Landestheater |  | Innsbruck |
| Landestheater Linz |  | Linz |
| Opera da Camera Linz |  | Linz |
| Osterfestspiele Salzburg |  | Salzburg |
| Salzburger Festspiele |  | Salzburg |
| St. Margarethen Opera Festival |  | Sankt Margarethen im Burgenland |
| Jugendstiltheater |  | Vienna |
| Razumovsky Ensemble |  | Vienna |
| Musiktheatertage Wien Festival |  | Vienna |
| Sirene Operntheater |  | Vienna |
| Volksoper Wien |  | Vienna |
| Wiener Kammeroper |  | Vienna |
| Wiener Staatsoper |  | Vienna |
