# Comparison of NATO Officer Codes and U.S. Officer Pay Grades

| NATO Code | U.S. Pay Grade | U.S. Title (Example) | UK Equivalent | Notes |
| --- | --- | --- | --- | --- |
| OF-1 | O-1 / O-2 | 2LT / 1LT | Second Lieutenant / Lieutenant | Entry officer |
| OF-2 | O-3 | Captain | Captain | Junior officer |
| OF-3 | O-4 | Major | Major | Field grade |
| OF-4 | O-5 | Lieutenant Colonel | Lieutenant Colonel | Field grade |
| OF-5 | O-6 | Colonel | Colonel | Senior field grade |
| OF-6 | O-7 | Brigadier General | Brigadier | General officer |
| OF-7 | O-8 | Major General | Major General | General officer |
| OF-8 | O-9 | Lieutenant General | Lieutenant General | General officer |
| OF-9 | O-10 | General | General | Highest regular grade |
