# List of cable Internet providers
> South America

| Internet Service | Downstream | Upstream | Services included | Network | Technology |
| --- | --- | --- | --- | --- | --- |
| Movistar 2Mb | 2 Mbit/s | 640 Kbit/s | Telephone | ADSL | ADSL 2 |
| Movistar 4Mb | 4 Mbit/s | 640 Kbit/s | Telephone | ADSL | ADSL 2 |
| Movistar 8Mb | 8 Mbit/s | 800 Kbit/s | Telephone | ADSL | ADSL 2 |
| Movistar Uno 10Mb | 10 Mbit/s | 1 Mbit/s | Telephone | ADSL or HFC | ADSL 2 or DOCSIS 2.0 |
| Movistar Uno 15Mb | 15 Mbit/s | 1.5 Mbit/s | Telephone | HFC | DOCSIS 2.0 |
| Movistar Uno 20Mb | 20 Mbit/s | 2 Mbit/s | Telephone and Cable TV | HFC | DOCSIS 2.0 |
| Movistar Uno 30Mb | 30 Mbit/s | 3 Mbit/s | Telephone and Cable TV | HFC | DOCSIS 2.0 |
| Movistar Uno 60Mb | 60 Mbit/s | 6 Mbit/s | Telephone and Cable TV | HFC | DOCSIS 3.0 |
| Movistar Uno 100Mb | 100 Mbit/s | 10 Mbit/s | Telephone and Cable TV | HFC | DOCSIS 3.0 |
