# Ancient Egypt  Deities and Related Royal Regalia

| Entry | Type | Associated domain/meaning | Linked deity/figure |
| --- | --- | --- | --- |
| Hedjet (White Crown) | Crown | Upper Egypt sovereignty | Horus |
| Deshret (Red Crown) | Crown | Lower Egypt sovereignty | Wadjet |
| Pschent (Double Crown) | Crown | United kingship | Horus |
| Atef Crown | Crown | Osirian authority | Osiris |
| Was Scepter | Object | Power and dominion | Set |
| Ankh | Object | Life | Isis |
| Djed Pillar | Object | Stability | Osiris |
| Eye of Horus (Wedjat) | Symbol | Protection, healing | Horus |
| Sistrum | Instrument | Ritual joy | Hathor |
| Menat | Necklace | Fertility, protection | Hathor |
