# Astrological Houses Cheat Sheet  Topics, Natural Sign, and Traditional Ruler

| House | Core Topics | Natural Sign | Traditional Ruler | Angularity |
| --- | --- | --- | --- | --- |
| 1st | Identity, appearance, vitality | Aries | Mars | Angular |
| 2nd | Money, possessions, values | Taurus | Venus | Succedent |
| 3rd | Siblings, learning, short trips | Gemini | Mercury | Cadent |
| 4th | Home, family, roots | Cancer | Moon | Angular |
| 5th | Romance, creativity, children | Leo | Sun | Succedent |
| 6th | Work, health, routines | Virgo | Mercury | Cadent |
| 7th | Partnerships, marriage | Libra | Venus | Angular |
| 8th | Shared resources, transformation | Scorpio | Mars | Succedent |
| 9th | Travel, beliefs, higher study | Sagittarius | Jupiter | Cadent |
| 10th | Career, reputation, status | Capricorn | Saturn | Angular |
| 11th | Friends, groups, hopes | Aquarius | Saturn | Succedent |
| 12th | Subconscious, isolation, endings | Pisces | Jupiter | Cadent |
