# Serratia marcescens
> External links

| Test | Result [7] |
| --- | --- |
| Gram stain | - |
| Oxidase | - |
| Indole production | - |
| Methyl Red | >70% - |
| Voges-Proskaeur | + |
| Citrate (Simmons) | + |
| Hydrogen sulfide production | - |
| Urea hydrolysis | >70% - |
| Phenylalanine deaminase | - |
| Lysine decarboxylase | + |
| Motility | + |
| Gelatin hydrolysis, 22 °C | + |
| Acid from lactose | - |
| Acid from glucose | + |
| Acid from maltose | + |
| Acid from mannitol | + |
| Acid from sucrose | + |
| Nitrate reduction | + (to nitrite) |
| Deoxyribonuclease, 25 °C | + |
| Lipase | + |
| Pigment | some biovars produce red |
| Catalase production (24h) | + |
|  | Wikimedia Commons has media related to Serratia marcescens . |
