# U.S. Senate Majority Control by Year and Election Cycle (Selected Periods)

| Year | Congress Term (years) | Majority party (Senate) | Notes |
|---|---|---|---|
| 1937 | 75th (1937–1939) | Democratic | New Deal era composition |
| 1939 | 76th (1939–1941) | Democratic | Pre–WWII period |
| 1941 | 77th (1941–1943) | Democratic | Wartime alignments |
| 1947 | 80th (1947–1949) | Republican | Postwar shift |
| 1953 | 83rd (1953–1955) | Republican | Eisenhower early years |
| 1955 | 84th (1955–1957) | Democratic | Democrats regain majority |
| 1995 | 104th (1995–1997) | Republican | Republican Revolution era |
| 2007 | 110th (2007–2009) | Democratic | Majority via caucus |
| 2015 | 114th (2015–2017) | Republican | Midterm swing |
| 2021 | 117th (2021–2023) | Democratic | 50–50 with VP tie-break |
