# Chromosomal Microdeletion   Microduplication Syndromes and Implicated Regions (Examples)

| Syndrome / condition | Copy-number change | Chromosomal region | Key gene(s) in region (examples) | Core phenotype (brief) |
| --- | --- | --- | --- | --- |
| DiGeorge syndrome (22q11.2 deletion syndrome) | Deletion | 22q11.2 | TBX1 | Congenital heart defects, immune issues |
| Williams–Beuren syndrome | Deletion | 7q11.23 | ELN | Supravalvular aortic stenosis, distinctive facies |
| Prader–Willi syndrome | Deletion / imprinting defect | 15q11-q13 (paternal) | SNORD116 cluster (region) | Hypotonia, hyperphagia |
| Angelman syndrome | Deletion / UBE3A disruption | 15q11-q13 (maternal) | UBE3A | Severe developmental delay, seizures |
| Smith–Magenis syndrome | Deletion | 17p11.2 | RAI1 | Sleep disturbance, behavioral features |
| Potocki–Lupski syndrome | Duplication | 17p11.2 | RAI1 (dosage-sensitive) | Hypotonia, developmental delay |
| Wolf–Hirschhorn syndrome | Deletion | 4p16.3 | WHSC1 (NSD2) | Growth delay, seizures, “Greek helmet” facies |
| Miller–Dieker syndrome | Deletion | 17p13.3 | PAFAH1B1 (LIS1) | Lissencephaly, severe neurodevelopmental issues |
| WAGR syndrome | Deletion | 11p13 | WT1, PAX6 | Wilms tumor risk, aniridia |
| 1p36 deletion syndrome | Deletion | 1p36 | SKI (example) | Intellectual disability, cardiomyopathy (variable) |
