# Secondary School Subject Offer (GCSE A Level) and School Performance Summary

| Subject Offered | Stage | Notes | Progress 8 (Dept.) | Attainment 8 (Dept.) |
| --- | --- | --- | ---:| ---:|
| Mathematics | GCSE | Core | +0.32 | 52.1 |
| English Language | GCSE | Core | +0.28 | 50.4 |
| English Literature | GCSE | Core | +0.21 | 49.7 |
| Biology | GCSE | Option/Triple | +0.15 | 51.9 |
| Chemistry | GCSE | Option/Triple | +0.18 | 52.8 |
| Physics | GCSE | Option/Triple | +0.12 | 51.3 |
| Geography | GCSE | Option | +0.09 | 48.5 |
| Economics | A Level | Sixth Form | +0.05 | 47.2 |
| Further Mathematics | A Level | Sixth Form | +0.11 | 54.0 |
