# Law & Order  Special Victims Unit —  Night  (TV Episode 2015) — Episode Cast

| Category | Actor | Character |
| --- | --- | --- |
| Main cast | Mariska Hargitay | Det. Olivia Benson |
| Main cast | Ice-T | Sgt. Odafin "Fin" Tutuola |
| Main cast | Kelli Giddish | Det. Amanda Rollins |
| Main cast | Peter Scanavino | Dominick "Sonny" Carisi Jr. |
| Main cast | Raúl Esparza | ADA Rafael Barba |
| Main cast | Kevin Kane | Detective-Sergeant Terry Bruno |
| Guest cast | James Le Gros | Alan Messinger |
| Guest cast | Ritchie Coster | Darius Parker |
| Guest cast | Alysia Reiner | Sherri West |
| Guest cast | Dee Roscioli | Attorney Elizabeth Donnelly |
